cohort,cohort_years,paygrade_level,paygrade,y1_emp,y5_emp,y10_emp,y1_nonemp,y5_nonemp,y10_nonemp,y1_p25_earnings,y5_p25_earnings,y10_p25_earnings,y1_p50_earnings,y5_p50_earnings,y10_p50_earnings,y1_p75_earnings,y5_p75_earnings,y10_p75_earnings,status_y1_emp,status_y5_emp,status_y10_emp,status_y1_nonemp,status_y5_nonemp,status_y10_nonemp,status_y1_earn,status_y5_earn,status_y10_earn
0,16,X,E1-E9,312300,262900,155000,342900,168900,84120,23330,31130,36480,34630,45420,52620,51030,65130,75520,1,1,1,1,1,1,1,1,1
0,16,E,E1,11810,9921,6246,17410,10500,6163,18440,21260,25010,25130,30630,37080,34960,43900,52720,1,1,1,1,1,1,1,1,1
0,16,E,E2,6056,5462,3947,9079,5719,3529,18010,21550,25030,24530,30950,36490,34270,43390,51540,1,1,1,1,1,1,1,1,1
0,16,E,E3,12160,11020,7568,19130,10120,5743,18480,22910,27450,25460,33180,40120,35270,46270,56540,1,1,1,1,1,1,1,1,1
0,16,E,E4,123100,105300,67890,161900,74620,36740,20640,27460,33710,29250,39480,47940,40640,54700,67270,1,1,1,1,1,1,1,1,1
0,16,E,E5,73890,64270,34460,78890,37660,15940,24910,34910,42390,36510,49060,59600,52130,68300,83060,1,1,1,1,1,1,1,1,1
0,16,E,E6,30400,23300,12350,26450,12970,6332,30190,39540,43950,43120,54520,61440,62240,76970,86820,1,1,1,1,1,1,1,1,1
0,16,E,E7-E9,54810,43670,22460,30140,17300,9629,36950,46030,48400,52340,63570,67910,72730,85280,91170,1,1,1,1,1,1,1,1,1
2000,2,X,E1-E9,51230,57090,54930,33180,27080,28730,23930,30710,37320,34320,44390,53580,47700,62210,76290,1,1,1,1,1,1,1,1,1
2002,2,X,E1-E9,36400,45460,44720,33570,24320,24750,21810,29240,34820,31780,42870,50510,45310,60280,72830,1,1,1,1,1,1,1,1,1
2004,2,X,E1-E9,50460,50890,55350,36210,35380,30620,22770,33280,36970,34490,48040,53520,51100,68930,76710,1,1,1,1,1,1,1,1,1
2006,2,X,E1-E9,44730,44830,,32370,31990,,24230,33050,,36260,48120,,53400,69770,,1,1,-1,1,1,-1,1,1,-1
2008,2,X,E1-E9,29470,41600,,44150,31810,,26900,30570,,41380,44960,,63320,66120,,1,1,-1,1,1,-1,1,1,-1
2010,2,X,E1-E9,30500,23060,,57710,18280,,24070,29510,,37060,43270,,60530,62630,,1,1,-1,1,1,-1,1,1,-1
2012,2,X,E1-E9,44940,,,72890,,,22070,,,32250,,,47610,,,1,-1,-1,1,-1,-1,1,-1,-1
2014,2,X,E1-E9,24550,,,32780,,,22590,,,32950,,,46870,,,1,-1,-1,1,-1,-1,1,-1,-1
2000,2,E,E1,2075,2386,1985,1962,1623,2017,19450,20880,25930,26630,30850,37450,36400,44720,52880,1,1,1,1,1,1,1,1,1
2000,2,E,E2,1305,1486,1320,1279,1045,1219,18660,21450,25630,24700,31580,36180,34370,44110,51080,1,1,1,1,1,1,1,1,1
2000,2,E,E3,2485,2941,2757,2323,1844,2005,18960,22580,27980,26000,32940,40190,34880,45900,56490,1,1,1,1,1,1,1,1,1
2000,2,E,E4,21180,24330,23820,15180,11920,12250,21530,27860,34880,30180,39760,49100,40590,54580,68130,1,1,1,1,1,1,1,1,1
2000,2,E,E5,11160,12100,11980,6213,5243,5324,27300,35830,43460,38610,50430,61200,52260,68470,84630,1,1,1,1,1,1,1,1,1
2000,2,E,E6,4872,5044,4910,2614,2406,2465,30190,39600,44140,41770,54490,62640,57370,75360,89970,1,1,1,1,1,1,1,1,1
2000,2,E,E7-E9,8188,8752,8227,3648,3003,3452,33110,41530,47000,44860,56880,66590,60850,77270,90360,1,1,1,1,1,1,1,1,1
2002,2,E,E1,2311,2641,2415,2505,2134,2328,17970,21190,24480,24880,30880,36410,34600,43830,51560,1,1,1,1,1,1,1,1,1
2002,2,E,E2,1379,1615,1574,1604,1351,1395,17700,21100,24860,24430,31000,36120,34720,43860,51450,1,1,1,1,1,1,1,1,1
